sentence,IOB,tokens,aspect,position,sentiment,probs,confidence
worst advertisements on youtube,"['O', 'B-ASP', 'O', 'O']","['worst', 'advertisements', 'on', 'youtube']",['advertisements'],[[1]],['Negative'],"[[0.9979015588760376, 0.0014512035995721817, 0.0006472987588495016]]",[0.9979]
good shopping platform is save and fast,"['O', 'O', 'B-ASP', 'O', 'O', 'O', 'O']","['good', 'shopping', 'platform', 'is', 'save', 'and', 'fast']",['platform'],[[2]],['Positive'],"[[0.0009785081492736936, 0.00047624934813939035, 0.9985452890396118]]",[0.9985]
nice material received in good condition fast delivery thanks a lot to seller and runner,"['O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['nice', 'material', 'received', 'in', 'good', 'condition', 'fast', 'delivery', 'thanks', 'a', 'lot', 'to', 'seller', 'and', 'runner']","['material', 'delivery']","[[1], [7]]","['Positive', 'Positive']","[[0.0008472722256556153, 0.000385914376238361, 0.9987668991088867], [0.00070167490048334, 0.0003122618654742837, 0.9989860653877258]]","[0.9988, 0.999]"
easy to use awesome products sold,"['O', 'O', 'B-ASP', 'O', 'O', 'O']","['easy', 'to', 'use', 'awesome', 'products', 'sold']",['use'],[[2]],['Positive'],"[[0.001458129845559597, 0.0004198382666800171, 0.9981220364570618]]",[0.9981]
cant do payment keep loading,"['O', 'O', 'B-ASP', 'O', 'O']","['cant', 'do', 'payment', 'keep', 'loading']",['payment'],[[2]],['Negative'],"[[0.9988640546798706, 0.0009262598468922079, 0.0002096806711051613]]",[0.9989]
good service fast delivery will buy again,"['O', 'B-ASP', 'O', 'B-ASP', 'O', 'O', 'O']","['good', 'service', 'fast', 'delivery', 'will', 'buy', 'again']","['service', 'delivery']","[[1], [3]]","['Positive', 'Positive']","[[0.0023998101241886616, 0.0006224262760952115, 0.9969778060913086], [0.0020706141367554665, 0.000560666318051517, 0.9973686933517456]]","[0.997, 0.9974]"
can i ask here if can use atm card for shop online,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O']","['can', 'i', 'ask', 'here', 'if', 'can', 'use', 'atm', 'card', 'for', 'shop', 'online']",['atm'],[[7]],['Neutral'],"[[0.003155327634885907, 0.9935646653175354, 0.0032800142653286457]]",[0.9936]
very good things are deliverd very quickly i find it a bit disapointing when i receive the wrong product otherwise shopee it really nice to do online shopping,"['O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['very', 'good', 'things', 'are', 'deliverd', 'very', 'quickly', 'i', 'find', 'it', 'a', 'bit', 'disapointing', 'when', 'i', 'receive', 'the', 'wrong', 'product', 'otherwise', 'shopee', 'it', 'really', 'nice', 'to', 'do', 'online', 'shopping']",['deliverd'],[[4]],['Positive'],"[[0.00224539777263999, 0.0003242296807002276, 0.9974303841590881]]",[0.9974]
easy to monitor goods delivery if can compare other similar products at the same time like previously it will be even better after received few products from the same dealer if press wrongly for submit button by only fill up 1 item rating there is no way to fill up the remaining items rating it makes me missed out a lot of shopee coinshope the apps can be improved further,"['O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['easy', 'to', 'monitor', 'goods', 'delivery', 'if', 'can', 'compare', 'other', 'similar', 'products', 'at', 'the', 'same', 'time', 'like', 'previously', 'it', 'will', 'be', 'even', 'better', 'after', 'received', 'few', 'products', 'from', 'the', 'same', 'dealer', 'if', 'press', 'wrongly', 'for', 'submit', 'button', 'by', 'only', 'fill', 'up', '1', 'item', 'rating', 'there', 'is', 'no', 'way', 'to', 'fill', 'up', 'the', 'remaining', 'items', 'rating', 'it', 'makes', 'me', 'missed', 'out', 'a', 'lot', 'of', 'shopee', 'coinshope', 'the', 'apps', 'can', 'be', 'improved', 'further']",['delivery'],[[4]],['Positive'],"[[0.0013090609572827816, 0.0016214197967201471, 0.9970695376396179]]",[0.9971]
delivery quite fast and price reasonable like to shop at shopee using the shopee coins,"['B-ASP', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['delivery', 'quite', 'fast', 'and', 'price', 'reasonable', 'like', 'to', 'shop', 'at', 'shopee', 'using', 'the', 'shopee', 'coins']","['delivery', 'price']","[[0], [4]]","['Positive', 'Positive']","[[0.0008530981722287834, 0.0005885521532036364, 0.9985583424568176], [0.0005916873342357576, 0.0004647720779757947, 0.9989435076713562]]","[0.9986, 0.9989]"
many things to choose from and price at good catch,"['O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O']","['many', 'things', 'to', 'choose', 'from', 'and', 'price', 'at', 'good', 'catch']",['price'],[[6]],['Positive'],"[[0.0011478328378871083, 0.00046192840090952814, 0.9983903169631958]]",[0.9984]
good sellers and products sold here but the apps itself is to buggy keep losing connections even when network is full keeps reloading back to the top of page when scrolling cant back up to the same screen after checking out products info and have rescroll back down from the top page again and again thus two stars is rated,"['O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['good', 'sellers', 'and', 'products', 'sold', 'here', 'but', 'the', 'apps', 'itself', 'is', 'to', 'buggy', 'keep', 'losing', 'connections', 'even', 'when', 'network', 'is', 'full', 'keeps', 'reloading', 'back', 'to', 'the', 'top', 'of', 'page', 'when', 'scrolling', 'cant', 'back', 'up', 'to', 'the', 'same', 'screen', 'after', 'checking', 'out', 'products', 'info', 'and', 'have', 'rescroll', 'back', 'down', 'from', 'the', 'top', 'page', 'again', 'and', 'again', 'thus', 'two', 'stars', 'is', 'rated']","['sellers', 'apps']","[[1], [8]]","['Negative', 'Negative']","[[0.7424769401550293, 0.004949911963194609, 0.2525731027126312], [0.9947425127029419, 0.001571228145621717, 0.003686201060190797]]","[0.7425, 0.9947]"
comfortabilityok materialok received in good condition,"['O', 'B-ASP', 'O', 'O', 'O', 'O']","['comfortabilityok', 'materialok', 'received', 'in', 'good', 'condition']",['materialok'],[[1]],['Positive'],"[[0.0035223260056227446, 0.0028268559835851192, 0.9936508536338806]]",[0.9937]
bought this for my 7 years old niece affordable and nice very light but with quality good product quality good value for money,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O']","['bought', 'this', 'for', 'my', '7', 'years', 'old', 'niece', 'affordable', 'and', 'nice', 'very', 'light', 'but', 'with', 'quality', 'good', 'product', 'quality', 'good', 'value', 'for', 'money']",['value'],[[20]],['Positive'],"[[0.00023972641793079674, 0.0011005168780684471, 0.9986597299575806]]",[0.9987]
fast delivery headphones are excellent noise cancellation is exactly as advertised,"['O', 'B-ASP', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'O']","['fast', 'delivery', 'headphones', 'are', 'excellent', 'noise', 'cancellation', 'is', 'exactly', 'as', 'advertised']","['delivery', 'noise cancellation']","[[1], [5, 6]]","['Positive', 'Positive']","[[0.0017226766794919968, 0.000518862041644752, 0.9977583885192871], [0.0011225275229662657, 0.0004625953151844442, 0.9984148740768433]]","[0.9978, 0.9984]"
"arrived safely , but if you can do it , it ' s scary to watch the bubble wrap","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'I-ASP']","['arrived', 'safely', ',', 'but', 'if', 'you', 'can', 'do', 'it', ',', 'it', ""'"", 's', 'scary', 'to', 'watch', 'the', 'bubble', 'wrap']",['bubble wrap'],"[[17, 18]]",['Negative'],"[[0.9954227805137634, 0.003993140533566475, 0.0005840366939082742]]",[0.9954]
vendors ship out was fast but take a while to arrive to our home address,"['O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['vendors', 'ship', 'out', 'was', 'fast', 'but', 'take', 'a', 'while', 'to', 'arrive', 'to', 'our', 'home', 'address']",['ship'],[[1]],['Positive'],"[[0.001339074457064271, 0.0005480581312440336, 0.9981129169464111]]",[0.9981]
rediculous that i cannot even add a credit card to do my payments both on web and the app,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'B-ASP', 'O', 'O', 'B-ASP']","['rediculous', 'that', 'i', 'cannot', 'even', 'add', 'a', 'credit', 'card', 'to', 'do', 'my', 'payments', 'both', 'on', 'web', 'and', 'the', 'app']","['payments', 'web', 'app']","[[12], [15], [18]]","['Neutral', 'Neutral', 'Neutral']","[[0.14884991943836212, 0.8467392921447754, 0.004410868044942617], [0.11757713556289673, 0.8768569231033325, 0.005565854255110025], [0.09121675044298172, 0.8990440964698792, 0.009739176370203495]]","[0.8467, 0.8769, 0.899]"
easy to shop so far all goods received in good condition and within 2 weeks,"['O', 'O', 'B-ASP', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['easy', 'to', 'shop', 'so', 'far', 'all', 'goods', 'received', 'in', 'good', 'condition', 'and', 'within', '2', 'weeks']","['shop', 'goods']","[[2], [6]]","['Positive', 'Positive']","[[0.0005098582478240132, 0.0002954812371172011, 0.9991946816444397], [0.00043280559475533664, 0.00028300509438849986, 0.9992842078208923]]","[0.9992, 0.9993]"
what a horrible trouble having to navigate through such a messy app,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP']","['what', 'a', 'horrible', 'trouble', 'having', 'to', 'navigate', 'through', 'such', 'a', 'messy', 'app']",['app'],[[11]],['Negative'],"[[0.9989750385284424, 0.0007341983146034181, 0.000290854019112885]]",[0.999]
great vouchers and easy refund processes hope to see more justify shoppe guarantee for shoppers tks,"['O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O']","['great', 'vouchers', 'and', 'easy', 'refund', 'processes', 'hope', 'to', 'see', 'more', 'justify', 'shoppe', 'guarantee', 'for', 'shoppers', 'tks']","['refund', 'guarantee']","[[4], [12]]","['Positive', 'Negative']","[[0.04061449319124222, 0.0023868081625550985, 0.9569986462593079], [0.9872481226921082, 0.010472557507455349, 0.00227932701818645]]","[0.957, 0.9872]"
this app i search for so many items dont have dislike,"['O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['this', 'app', 'i', 'search', 'for', 'so', 'many', 'items', 'dont', 'have', 'dislike']",['app'],[[1]],['Positive'],"[[0.0010362854227423668, 0.0005397899076342583, 0.9984239339828491]]",[0.9984]
very prompt delivery and happy with product product registered online with manufacturer too,"['O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['very', 'prompt', 'delivery', 'and', 'happy', 'with', 'product', 'product', 'registered', 'online', 'with', 'manufacturer', 'too']",['delivery'],[[2]],['Positive'],"[[0.0006875754334032536, 0.00036659149918705225, 0.9989458918571472]]",[0.9989]
The quality of the material is very thin,"['O', 'O', 'B-ASP', 'I-ASP', 'I-ASP', 'O', 'O', 'O']","['The', 'quality', 'of', 'the', 'material', 'is', 'very', 'thin']",['of the material'],"[[2, 3, 4]]",['Positive'],"[[0.09307298809289932, 0.017975233495235443, 0.88895183801651]]",[0.889]
is the comment option for shopee feed contest not working click but nothing happens,"['O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['is', 'the', 'comment', 'option', 'for', 'shopee', 'feed', 'contest', 'not', 'working', 'click', 'but', 'nothing', 'happens']",['comment'],[[2]],['Negative'],"[[0.9977980852127075, 0.0019234820501878858, 0.0002784319221973419]]",[0.9978]
fast response seller fast delivery good communication with seller provide adequate advise on product sold,"['O', 'O', 'B-ASP', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['fast', 'response', 'seller', 'fast', 'delivery', 'good', 'communication', 'with', 'seller', 'provide', 'adequate', 'advise', 'on', 'product', 'sold']","['seller', 'delivery']","[[2], [4]]","['Positive', 'Positive']","[[0.000880382489413023, 0.00034931290429085493, 0.9987702965736389], [0.0007449185941368341, 0.00032352819107472897, 0.9989315867424011]]","[0.9988, 0.9989]"
sadly it filters out other shopee accounts from other country therefore in shopee sg are mostly local base resellers as a result some of the waiting time would stil be 24weeks working days also their dispute system is the worse ever simply take too long to response,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['sadly', 'it', 'filters', 'out', 'other', 'shopee', 'accounts', 'from', 'other', 'country', 'therefore', 'in', 'shopee', 'sg', 'are', 'mostly', 'local', 'base', 'resellers', 'as', 'a', 'result', 'some', 'of', 'the', 'waiting', 'time', 'would', 'stil', 'be', '24weeks', 'working', 'days', 'also', 'their', 'dispute', 'system', 'is', 'the', 'worse', 'ever', 'simply', 'take', 'too', 'long', 'to', 'response']","['waiting time', 'dispute']","[[25, 26], [35]]","['Negative', 'Negative']","[[0.997005045413971, 0.0023486721329391003, 0.0006462890887632966], [0.9975473284721375, 0.0020693475380539894, 0.00038326875073835254]]","[0.997, 0.9975]"
lousy app cant even sign up ask for email address ones key in still asking to log in again and again try to use face book same problem uninstal app,"['O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O']","['lousy', 'app', 'cant', 'even', 'sign', 'up', 'ask', 'for', 'email', 'address', 'ones', 'key', 'in', 'still', 'asking', 'to', 'log', 'in', 'again', 'and', 'again', 'try', 'to', 'use', 'face', 'book', 'same', 'problem', 'uninstal', 'app']","['app', 'face']","[[1], [24]]","['Negative', 'Negative']","[[0.9979050159454346, 0.0018106552306562662, 0.00028435123385861516], [0.9974443912506104, 0.0022663665004074574, 0.00028927065432071686]]","[0.9979, 0.9974]"
fast delivery first time i bought macbook online and to be honest i was worried about the delivery process however im glad i made the purchase the item is securely wrapped with bubble wrap and boxes very safe and secure delivery thank you,"['O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O']","['fast', 'delivery', 'first', 'time', 'i', 'bought', 'macbook', 'online', 'and', 'to', 'be', 'honest', 'i', 'was', 'worried', 'about', 'the', 'delivery', 'process', 'however', 'im', 'glad', 'i', 'made', 'the', 'purchase', 'the', 'item', 'is', 'securely', 'wrapped', 'with', 'bubble', 'wrap', 'and', 'boxes', 'very', 'safe', 'and', 'secure', 'delivery', 'thank', 'you']","['delivery', 'bubble wrap', 'boxes', 'delivery']","[[1], [32, 33], [35], [40]]","['Positive', 'Positive', 'Positive', 'Positive']","[[0.0004983202670700848, 0.0007302183075807989, 0.9987714886665344], [0.00026237688143737614, 0.0005918847164139152, 0.9991457462310791], [0.00026778288884088397, 0.0005015133647248149, 0.9992307424545288], [0.0004983202670700848, 0.0007302183075807989, 0.9987714886665344]]","[0.9988, 0.9991, 0.9992, 0.9988]"
good packaging works well,"['O', 'B-ASP', 'O', 'O']","['good', 'packaging', 'works', 'well']",['packaging'],[[1]],['Positive'],"[[0.013761503621935844, 0.0016665924340486526, 0.9845719337463379]]",[0.9846]
the similar product category doesnt really show the same items that are selected,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['the', 'similar', 'product', 'category', 'doesnt', 'really', 'show', 'the', 'same', 'items', 'that', 'are', 'selected']",[],[],[],[],[]
met expectations has a good array of products,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['met', 'expectations', 'has', 'a', 'good', 'array', 'of', 'products']",[],[],[],[],[]
great bargains found,"['O', 'B-ASP', 'O']","['great', 'bargains', 'found']",['bargains'],[[1]],['Positive'],"[[0.019254615530371666, 0.0016485553933307528, 0.9790968298912048]]",[0.9791]
app not responsive when i go to help centre page doesnt even load after choosing the questions,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['app', 'not', 'responsive', 'when', 'i', 'go', 'to', 'help', 'centre', 'page', 'doesnt', 'even', 'load', 'after', 'choosing', 'the', 'questions']",['help centre'],"[[7, 8]]",['Negative'],"[[0.9984579086303711, 0.0013273806544020772, 0.00021475581161212176]]",[0.9985]
easy to use rarely breakdownhang,"['O', 'O', 'B-ASP', 'O', 'O']","['easy', 'to', 'use', 'rarely', 'breakdownhang']",['use'],[[2]],['Positive'],"[[0.08518821001052856, 0.0017270756652578712, 0.9130847454071045]]",[0.9131]
"highly recommended , it arrived yesterday but forgot to rate it , it ' s very shocking , hehe , fast delivery , sound , everything is clear , the battery lasts a long time , it ' s comfortable to use , thank you seller","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O']","['highly', 'recommended', ',', 'it', 'arrived', 'yesterday', 'but', 'forgot', 'to', 'rate', 'it', ',', 'it', ""'"", 's', 'very', 'shocking', ',', 'hehe', ',', 'fast', 'delivery', ',', 'sound', ',', 'everything', 'is', 'clear', ',', 'the', 'battery', 'lasts', 'a', 'long', 'time', ',', 'it', ""'"", 's', 'comfortable', 'to', 'use', ',', 'thank', 'you', 'seller']","['delivery', 'sound', 'battery', 'use']","[[21], [23], [30], [41]]","['Positive', 'Positive', 'Positive', 'Positive']","[[0.00046698376536369324, 0.000977607094682753, 0.9985553622245789], [0.00032707734499126673, 0.0006943509797565639, 0.9989786148071289], [0.00020133212092332542, 0.0004501950752455741, 0.9993484616279602], [0.00021410513727460057, 0.0005248241359367967, 0.9992610812187195]]","[0.9986, 0.999, 0.9993, 0.9993]"
"suitable , comfortable to wear","['O', 'O', 'O', 'O', 'B-ASP']","['suitable', ',', 'comfortable', 'to', 'wear']",['wear'],[[4]],['Positive'],"[[0.003249272471293807, 0.0011891397880390286, 0.9955615997314453]]",[0.9956]
good deals on most products and admin eta on delivery date pretty accurate,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'I-ASP', 'O', 'O']","['good', 'deals', 'on', 'most', 'products', 'and', 'admin', 'eta', 'on', 'delivery', 'date', 'pretty', 'accurate']",['delivery date'],"[[9, 10]]",['Positive'],"[[0.0021329058799892664, 0.0007667466416023672, 0.997100293636322]]",[0.9971]
"the quality is ok , the material is beautiful , the clothes are beautiful and there is a little dirt , but it ' s okay to wash it , it ' s gone , thanks to the reseller , I ' ll order again next time , thanks","['O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['the', 'quality', 'is', 'ok', ',', 'the', 'material', 'is', 'beautiful', ',', 'the', 'clothes', 'are', 'beautiful', 'and', 'there', 'is', 'a', 'little', 'dirt', ',', 'but', 'it', ""'"", 's', 'okay', 'to', 'wash', 'it', ',', 'it', ""'"", 's', 'gone', ',', 'thanks', 'to', 'the', 'reseller', ',', 'I', ""'"", 'll', 'order', 'again', 'next', 'time', ',', 'thanks']","['material', 'wash']","[[6], [27]]","['Positive', 'Positive']","[[0.000549735501408577, 0.0030576239805668592, 0.9963926672935486], [0.011233286000788212, 0.050767701119184494, 0.9379990696907043]]","[0.9964, 0.938]"
charged me random extra costs dont download this app,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ASP']","['charged', 'me', 'random', 'extra', 'costs', 'dont', 'download', 'this', 'app']",['app'],[[8]],['Negative'],"[[0.9989334940910339, 0.0007779574953019619, 0.0002885942521970719]]",[0.9989]
easy to use,"['O', 'O', 'B-ASP']","['easy', 'to', 'use']",['use'],[[2]],['Positive'],"[[0.006575844716280699, 0.0012531650718301535, 0.9921709299087524]]",[0.9922]
